statement	score	confidence
Clonorchis sinensis (infection with)	1	carcinogenic to humans
Helicobacter pylori (infection with)	1	carcinogenic to humans
Opisthorchis viverrini (infection with)	1	carcinogenic to humans
Schistosoma haematobium (infection with)	1	carcinogenic to humans
"Acheson process, occupational exposure associated with"	1	carcinogenic to humans
"Acid mists, strong inorganic"	1	carcinogenic to humans
Alcoholic beverages	1	carcinogenic to humans
Aluminium production	1	carcinogenic to humans
Areca nut	1	carcinogenic to humans
Auramine production	1	carcinogenic to humans
"Automotive gasoline (see also Gasoline engine exhaust, and Aviation gasoline)"	1	carcinogenic to humans
"Benzidine, dyes metabolized to"	1	carcinogenic to humans
Betel quid with tobacco	1	carcinogenic to humans
Betel quid without tobacco	1	carcinogenic to humans
Coal gasification	1	carcinogenic to humans
"Coal, indoor emissions from household combustion of"	1	carcinogenic to humans
Coke production	1	carcinogenic to humans
"Engine exhaust, diesel"	1	carcinogenic to humans
Epstein-Barr virus	1	carcinogenic to humans
"Estrogen therapy, postmenopausal"	1	carcinogenic to humans
Estrogen-progestogen menopausal therapy (combined)	1	carcinogenic to humans
Estrogen-progestogen oral contraceptives (combined)	1	carcinogenic to humans
Firefighter (occupational exposure as a)	1	carcinogenic to humans
"Fission products, including strontium-90"	1	carcinogenic to humans
Fluoro-edenite fibrous amphibole	1	carcinogenic to humans
Haematite mining (underground)	1	carcinogenic to humans
Hepatitis B virus (chronic infection with)	1	carcinogenic to humans
Hepatitis C virus (chronic infection with)	1	carcinogenic to humans
Hepatitis D virus (HDV)	1	carcinogenic to humans
Human T-cell lymphotropic virus type I	1	carcinogenic to humans
Human immunodeficiency virus type 1 (infection with)	1	carcinogenic to humans
Human papillomavirus (HPV) type 16	1	carcinogenic to humans
Human papillomavirus (HPV) type 18	1	carcinogenic to humans
Human papillomavirus (HPV) type 33	1	carcinogenic to humans
"Human papillomavirus (HPV) types 31, 35, 39, 45, 51, 52, 56, 58, 59"	1	carcinogenic to humans
Ionizing radiation (all types)	1	carcinogenic to humans
Iron and steel founding (occupational exposure during)	1	carcinogenic to humans
Isopropyl alcohol manufacture using strong acids	1	carcinogenic to humans
Kaposi sarcoma herpesvirus	1	carcinogenic to humans
Leather dust	1	carcinogenic to humans
MOPP and other combined chemotherapy including alkylating agents	1	carcinogenic to humans
Magenta production	1	carcinogenic to humans
Merkel cell polyomavirus (MCPyV)	1	carcinogenic to humans
"Mineral oils, untreated or mildly treated"	1	carcinogenic to humans
Neutron radiation	1	carcinogenic to humans
Nickel compounds	1	carcinogenic to humans
Opium consumption	1	carcinogenic to humans
Outdoor air pollution	1	carcinogenic to humans
"Outdoor air pollution, particulate matter in"	1	carcinogenic to humans
Painter (occupational exposure as a)	1	carcinogenic to humans
"Phenacetin, analgesic mixtures containing"	1	carcinogenic to humans
"Polychlorinated biphenyls, dioxin-like, with a Toxicity Equivalency Factor (TEF) according to WHO (PCBs 77, 81, 105, 114, 118, 123, 126, 156, 157, 167, 169, 189)"	1	carcinogenic to humans
Processed meat (consumption of)	1	carcinogenic to humans
"Radioiodines, including iodine-131"	1	carcinogenic to humans
"Radionuclides, alpha-particle-emitting, internally deposited"	1	carcinogenic to humans
"Radionuclides, beta-particle-emitting, internally deposited"	1	carcinogenic to humans
Rubber manufacturing industry	1	carcinogenic to humans
"Salted fish, Chinese-style"	1	carcinogenic to humans
"Solar radiation (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet radiation from welding; and Ultraviolet-emitting tanning devices)"	1	carcinogenic to humans
Soot (as found in occupational exposure of chimney sweeps)	1	carcinogenic to humans
"Tobacco smoke, secondhand"	1	carcinogenic to humans
Tobacco smoking	1	carcinogenic to humans
"Tobacco, smokeless"	1	carcinogenic to humans
"Ultraviolet radiation from welding (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet-emitting tanning devices; and Solar radiation)"	1	carcinogenic to humans
"Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC) (see Ultraviolet radiation from welding; Ultraviolet-emitting tanning devices; and Solar radiation)"	1	carcinogenic to humans
"Ultraviolet-emitting tanning devices (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet radiation from welding; and Solar radiation)"	1	carcinogenic to humans
Welding fumes	1	carcinogenic to humans
Wood dust	1	carcinogenic to humans
X- and Gamma-Radiation	1	carcinogenic to humans
Radon-222 and its decay products	1	carcinogenic to humans
"4,4'-Methylenebis(2-chloroaniline) (MOCA)"	1	carcinogenic to humans
Tacrolimus	1	carcinogenic to humans
Tamoxifen	1	carcinogenic to humans
"1,3-Butadiene"	1	carcinogenic to humans
Acrylonitrile	1	carcinogenic to humans
Radium-224 and its decay products	1	carcinogenic to humans
"Asbestos (all forms, including actinolite, amosite, anthophyllite, chrysotile, crocidolite, tremolite)"	1	carcinogenic to humans
Polychlorinated biphenyls	1	carcinogenic to humans
Voriconazole	1	carcinogenic to humans
1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea (Methyl-CCNU) (Semustine)	1	carcinogenic to humans
Radium-226 and its decay products	1	carcinogenic to humans
Aflatoxins	1	carcinogenic to humans
"Phosphorus-32, as phosphate"	1	carcinogenic to humans
Melphalan	1	carcinogenic to humans
"Silica dust, crystalline, in the form of quartz or cristobalite"	1	carcinogenic to humans
Radium-228 and its decay products	1	carcinogenic to humans
