"statement_idx","report","page_num","sent_num","statement"
"3","AR6_WGI","24","2","Since 1750
"42","AR6_WGI","37","16","Over the next 2000 years
"77","AR6_WGI","47","7","By the end of the century
"81","AR6_WGI","62","2","Over the past millennium
"86","AR6_WGI","63","8","The paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment
"98","AR6_WGI","65","30","These higher sensitivity values can
"151","AR6_WGI","85","31","Model estimates suggest no significant change in oxidizing capacity from 1850 to 1980"
"157","AR6_WGI","87","27","Projected changes in the intensity depend on the resolution of climate models"
"162","AR6_WGI","90","4","A long-term increase in surface open ocean pH occurred over the past 50 million years
"165","AR6_WGI","90","14","Ocean warming is irreversible over centuries to millennia
"190","AR6_WGI","93","13","The total Antarctic ice mass losses were dominated by the West Antarctic Ice Sheet
"197","AR6_WGI","93","34","Since AR5
"233","AR6_WGI","101","6","Water cycle variability and related extremes are projected to increase faster than mean changes in most regions of the world and under all emissions scenarios"
"237","AR6_WGI","101","11","Global land precipitation has likely increased since 1950
"282","AR6_WGI","116","13","The largest co-benefits are obtained with methods that seek to restore natural ecosystems or improve soil carbon sequestration"
"322","AR6_WGI","122","19","For global warming up to 2°C above 1850–1900 levels
"361","AR6_WGI","134","16","At global and regional scales
"371","AR6_WGI","136","16","It is very likely that mean temperatures have increased in all land regions and will continue to increase at rates greater than the global average"
"415","AR6_WGI","154","9","Future projections indicate continuing decline in seasonal snow duration
"419","AR6_WGI","154","17","Extreme hydrological drought frequency has increased in a region extending from south-west to north-east China
"467","AR6_WGI","160","4","Improvements in urban climate modelling and climate monitoring networks have contributed to understanding the mutual interaction between regional and urban climate"
"497","AR6_WGI","203","15","Over the period 1982–2016
"548","AR6_WGI","306","10","Changes in ERF since the late 19th century are dominated by increases in concentrations of greenhouse gases and trends in aerosols; the net ERF is positive and changing at an increasing rate since the 1970s"
"556","AR6_WGI","306","31","The best-estimate ERF from the increase in global albedo is –0.15 W m–2 since 1700 and –0.12 W m–2 since 1850"
"572","AR6_WGI","307","32","The average rate of sea level rise was 1.3 [0.6 to 2.1] mm yr –1 between 1901 and 1971
"583","AR6_WGI","308","9","Over the last century
"586","AR6_WGI","308","13","CO2 levels during the MPWP were similar to present for a sustained period
"593","AR6_WGI","315","13","Based on boron and carbon isotope data
"602","AR6_WGI","323","33","Limited coverage by surface observations precludes identification of zonal trends in the SH
"621","AR6_WGI","336","10","Given the projected future sea ice losses
"663","AR6_WGI","365","4","Permafrost that formed after 3ka still persists in areas of the NH
"671","AR6_WGI","369","32","The fastest rise occurred during Meltwater Pulse 1A
