statement_idx	report	page_num	sen
3	AR6_WGI	24	2	Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the na
42	AR6_WGI	37	16	Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limi
77	AR6_WGI	47	7	By the end of the century, scenarios with very low and low GHG emissions would s
81	AR6_WGI	62	2	Over the past millennium, and especially since about 1300 CE, simulated global surface 
86	AR6_WGI	63	8	The paleo context supports the assessmen
98	AR6_WGI	65	30	These higher sensitivity values can, in some models, be traced to changes in ex
151	AR6_WGI	85	31	Model estimates suggest no significant change in oxidizing capaci
157	AR6_WGI	87	27	Projected changes in the intensity depend on 
162	AR6_WGI	90	4	A long-term increase in surface open ocean pH occurred over the past 50 million years, and surface ocean pH as low as recent 
165	AR6_WGI	90	14	Ocean warming is irreversible over centuries to millennia, but the magni
190	AR6_WGI	93	13	The total Antarctic ice mass losses were domina
197	AR6_WGI	93	34	Since AR5, there is strengthened evidence for an increase in the ra
233	AR6_WGI	101	6	Water cycle variability and related extremes are projec
237	AR6_WGI	101	11	Global land precipitation has likely increased since 1950, with a faster increase since 
282	AR6_WGI	116	13	The largest co-benefits are obtained with me
322	AR6_WGI	122	19	For global warming up to 2°C above 1850–1900 levels, paleoclimate records do not indicate abrup
361	AR6_WGI	134	16	At global and regional scales, near-term monsoon changes will be dominated by the effec
371	AR6_WGI	136	16	It is very likely that mean tempera
415	AR6_WGI	154	9	Future projections indicate continuing decline in seasonal snow dura
419	AR6_WGI	154	17	Extreme hydrological drought frequency has increased in a region extending from south-wes
467	AR6_WGI	160	4	Improvements in urban climate modelling and climate monitoring ne
497	AR6_WGI	203	15	Over the period 1982–2016, marine heatwaves have very likely doubled in frequency and are increasing in intensity	very high	3	
548	AR6_WGI	306	10	Changes in ERF since the late 19th century are domina
556	AR6_WGI	306	31	The best-estimate ERF from the increase in global albedo is –0.15 W m–2 since 1700 and –0.12 W m–2 since 1850	medium	1	
572	AR6_WGI	307	32	The average rate of sea level rise was 1.3 [0.6 to 2.1] mm yr –1 between 1901 and 1971, increasing to 1.9 [0.8 
583	AR6_WGI	308	9	Over the last century, there have been increases in species 
586	AR6_WGI	308	13	CO2 levels during the MPWP were similar to present for a sustained period, wi
593	AR6_WGI	315	13	Based on boron and carbon isotope data, supported by other proxies (Hollis e
602	AR6_WGI	323	33	Limited coverage by surface observations precludes identification of zonal 
621	AR6_WGI	336	10	Given the projected future sea ice losses, the effec
663	AR6_WGI	365	4	Permafrost that formed after 3ka s
671	AR6_WGI	369	32	The fastest rise occurred during Meltwater Pulse 1A, a
679	AR6_WGI	374	10	A long-term increase in surface open ocean pH occurred over the past 50 Myr, and surface open ocean pH as low as recent 
687	AR6_WGI	378	12	A small decrease in productivity is evident globally for the period 1998–2015, bu
688	AR6_WGI	378	30	New in situ data as well as satellite observa
736	AR6_WGI	449	7	Simulated GMST anomalies are well within the uncertain
741	AR6_WGI	463	12	Although there is noticeable uncertain
768	AR6_WGI	492	1	Nevertheless, the CMIP6 models show a somewhat more realistic pa
772	AR6_WGI	495	14	The structure of the salinity biases in 
774	AR6_WGI	497	6	CMIP5 and CMIP6 models are only able to reproduce these patterns in simula
783	AR6_WGI	509	9	CMIP5 and CMIP6 models are skilful in simulating the spatial features and 
795	AR6_WGI	522	23	The pattern of ocean salinity changes indicate 
855	AR6_WGI	593	3	We assess that the cumulative up
922	AR6_WGI	692	7	Current atmospheric concentrations of 
941	AR6_WGI	694	23	The fraction of CO2 removed that remains out of 
974	AR6_WGI	735	7	Projected oxygen loss in the ocean is thought 
980	AR6_WGI	742	14	One study inferred a multi-year net CO2 source for the 
997	AR6_WGI	762	3	Increasing ocean warming and stratification may decrease exchanges between 
1005	AR6_WGI	779	14	The use of biochar reduces nutrient losses	low	0	test
1027	AR6_WGI	835	25	The spatial and temporal distribution of 
1036	AR6_WGI	836	17	Under the SSP3‑7.0 scenario, PM levels are projected to increase until 2050 over large par
1042	AR6_WGI	837	13	About 30 years or more after a one‑year emission pulse occurs, the sectors con
1096	AR6_WGI	881	21	For SLCFs with short lifetime (e.g., months), 
1185	AR6_WGI	969	37	There is thus limited evidence and medium agreement for a small negative con
1259	AR6_WGI	1075	9	Non-linear responses of regional runoff, groundwater recharge and water scarcity highlight 
1263	AR6_WGI	1075	19	The impact of SRM can affect different regions in poten
1275	AR6_WGI	1085	2	To summarize, increased moisture transport from evaporative oceans 
1304	AR6_WGI	1109	23	In AR6, Chapter 2 (Section 2.3.1.4.1) states 
1332	AR6_WGI	1125	16	The AR5 assessed that the contras
1342	AR6_WGI	1135	14	There is a likely increase in drought occurrence	medium	1	test
1362	AR6_WGI	1141	20	Discrepancies between observed and simulated changes in SSTs in the tropics indica
1390	AR6_WGI	1230	13	The long time scale also implies that the amoun
1450	AR6_WGI	1250	26	Projections confirm SROCC assessment that fresh ocean regions will con
1466	AR6_WGI	1258	10	As eddies potentially play a role in determining the s
1470	AR6_WGI	1260	11	The California Current system has experienced some upwelling-favourable wind intensification since 
1489	AR6_WGI	1268	5	The changes in stratification result par
1507	AR6_WGI	1288	32	The SR1.5 (Hoegh-Guldberg et al., 2018) assessed that a threshold for WAIS ins
1510	AR6_WGI	1289	12	Under around 2°C–3°C peak warming, complete or near-complete loss of the WAIS is projected in mos
1567	AR6_WGI	1323	10	Carbon dioxide removal, solar radiation modification, and local ice-shelf engineering may be effective at reducing 
1591	AR6_WGI	1382	27	Dynamical downscaling using regional climate models adds value in representing many regional weather and climate phenomena, especially over regions of complex orography or wi
1630	AR6_WGI	1423	22	Bias adjustment has proven beneficial as an interface between clima
1664	AR6_WGI	1534	18	At the global scale, the intensifica
1666	AR6_WGI	1534	20	Increases in the intensity of extreme precipi
1760	AR6_WGI	1620	18	Both the ENSO amplitude and the frequency of high-magni
1804	AR6_WGI	1810	10	Extreme precipitation intensi
1831	AR6_WGI	1816	10	Monsoon floods will be more intense in SAS	medium	1	test
