statement	score	confidence	gemini_2_5_flash
Nodularins	3	not classifiable	probably carcinogenic
Isosafrole	3	not classifiable	possibly carcinogenic
2,4,6-Trinitrotoluene	3	not classifiable	possibly carcinogenic
2-Aminoanthraquinone	3	not classifiable	possibly carcinogenic
Methyl chloride	3	not classifiable	not classifiable
Methyl iodide	3	not classifiable	not classifiable
Bromoethane	3	not classifiable	probably carcinogenic
4-Amino-2-nitrophenol	3	not classifiable	not classifiable
Vitamin K substances	3	not classifiable	not classifiable
Methylene blue	3	not classifiable	not classifiable
Ethylene	3	not classifiable	not classifiable
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
Methyl bromide	3	not classifiable	not classifiable
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	carcinogenic to humans
Glycidyl stearate	3	not classifiable	possibly carcinogenic
Aurothioglucose	3	not classifiable	not classifiable
N,N-Dimethylaniline	3	not classifiable	possibly carcinogenic
Zineb	3	not classifiable	not classifiable
Sulfur dioxide	3	not classifiable	not classifiable
Simazine	3	not classifiable	not classifiable
Anthranilic acid	3	not classifiable	i don't know
Bromoform	3	not classifiable	possibly carcinogenic
2-Amino-5-nitrothiazole	3	not classifiable	possibly carcinogenic
3-Chloronitrobenzene	3	not classifiable	not classifiable
Chloroethane	3	not classifiable	not classifiable
Vinylidene fluoride	3	not classifiable	not classifiable
Propham	3	not classifiable	not classifiable
2-Amino-5-nitrophenol	3	not classifiable	not classifiable
Sulfamethoxazole	3	not classifiable	i don't know
Chlorodifluoromethane	3	not classifiable	not classifiable
Hydroquinone	3	not classifiable	not classifiable
Chromium, metallic	3	not classifiable	not classifiable
N-Nitrosoproline	3	not classifiable	not classifiable
Chlorodibromomethane	3	not classifiable	possibly carcinogenic
Palygorskite (Attapulgite)(short fibres, < 5 micrometres)	3	not classifiable	not classifiable
tert-Butyl alcohol	3	not classifiable	not classifiable
Pentachloroethane	3	not classifiable	not classifiable
Dichloroacetylene	3	not classifiable	not classifiable
Butylated hydroxytoluene (BHT)	3	not classifiable	not classifiable
Silica, amorphous	3	not classifiable	not classifiable
Maneb	3	not classifiable	possibly carcinogenic
Maleic hydrazide	3	not classifiable	not classifiable
Hydroxyurea	3	not classifiable	not classifiable
Cyclochlorotine	3	not classifiable	not classifiable
Rosiglitazone	3	not classifiable	i don't know
Vat Yellow 4	3	not classifiable	not classifiable
Hydrogen peroxide	3	not classifiable	not classifiable
Sulfafurazole (Sulfisoxazole)	3	not classifiable	not classifiable
Pyrene	3	not classifiable	not classifiable
Selenium and selenium compounds	3	not classifiable	not classifiable
1,1,2-Trichloroethane	3	not classifiable	not classifiable
Methylglyoxal	3	not classifiable	possibly carcinogenic
Oxyphenbutazone	3	not classifiable	possibly carcinogenic
2-Nitropyrene	3	not classifiable	probably carcinogenic
Medphalan	3	not classifiable	carcinogenic to humans
Hydrochloric acid	3	not classifiable	not classifiable
Acrylic acid	3	not classifiable	not classifiable
2-Chloro-1,1,1-trifluoroethane	3	not classifiable	i don't know
Potassium bromate	2B	possibly carcinogenic	possibly carcinogenic
Blue VRS	3	not classifiable	possibly carcinogenic
Acheson process, occupational exposure associated with	1	carcinogenic to humans	carcinogenic to humans
Creosotes	2A	probably carcinogenic	probably carcinogenic
Phenyl glycidyl ether	2B	possibly carcinogenic	possibly carcinogenic
Acid mists, strong inorganic	1	carcinogenic to humans	carcinogenic to humans
Isophorone	2B	possibly carcinogenic	possibly carcinogenic
β-Myrcene	2B	possibly carcinogenic	possibly carcinogenic
2-Nitrotoluene	2A	probably carcinogenic	possibly carcinogenic
Dihydroxymethylfuratrizine (see also Panfuran S)	3	not classifiable	not classifiable
Alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
1,2-Diphenylhydrazine	2B	possibly carcinogenic	possibly carcinogenic
Isoprene	2B	possibly carcinogenic	possibly carcinogenic
Aluminium production	1	carcinogenic to humans	carcinogenic to humans
Sodium chlorite	3	not classifiable	i don't know
ortho-Anisidine (see also ortho-Anisidine hydrochloride)	2A	probably carcinogenic	possibly carcinogenic
1,4-Dioxane	2B	possibly carcinogenic	possibly carcinogenic
1,1,2,2-Tetrachloroethane	2B	possibly carcinogenic	possibly carcinogenic
Areca nut	1	carcinogenic to humans	carcinogenic to humans
Cobalt(II,III) oxide	3	not classifiable	possibly carcinogenic
Primidone	2B	possibly carcinogenic	possibly carcinogenic
Auramine production	1	carcinogenic to humans	carcinogenic to humans
ortho-Nitroanisole	2A	probably carcinogenic	possibly carcinogenic
Engine exhaust, diesel	1	carcinogenic to humans	carcinogenic to humans
2-Nitropropane	2B	possibly carcinogenic	possibly carcinogenic
Dichloroacetic acid	2B	possibly carcinogenic	possibly carcinogenic
4-Chloro-ortho-toluidine	2A	probably carcinogenic	probably carcinogenic
Methyleugenol	2A	probably carcinogenic	possibly carcinogenic
Styrene-7,8-oxide	2A	probably carcinogenic	probably carcinogenic
1,2,3-Trichloropropane	2A	probably carcinogenic	probably carcinogenic
Betel quid with tobacco	1	carcinogenic to humans	carcinogenic to humans
Griseofulvin	2B	possibly carcinogenic	possibly carcinogenic
Chloroprene	2B	possibly carcinogenic	possibly carcinogenic
Benzidine, dyes metabolized to	1	carcinogenic to humans	carcinogenic to humans
Nitrogen mustard N-oxide	2B	possibly carcinogenic	possibly carcinogenic
Panfuran S (containing dihydroxymethylfuratrizine)	2B	possibly carcinogenic	not classifiable
Aloe vera, whole leaf extract	2B	possibly carcinogenic	possibly carcinogenic
Betel quid without tobacco	1	carcinogenic to humans	carcinogenic to humans
Bitumens, occupational exposure to straight-run bitumens and their emissions during road paving	2B	possibly carcinogenic	possibly carcinogenic
Toxaphene (Polychlorinated camphenes)	2B	possibly carcinogenic	possibly carcinogenic
N,N-Dimethylacetamide	2B	possibly carcinogenic	possibly carcinogenic
alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)	2A	probably carcinogenic	carcinogenic to humans
Arecoline	2B	possibly carcinogenic	possibly carcinogenic
Coal, indoor emissions from household combustion of	1	carcinogenic to humans	carcinogenic to humans
Methylarsonic acid	2B	possibly carcinogenic	not classifiable
Schistosoma japonicum (infection with)	2B	possibly carcinogenic	carcinogenic to humans
Automotive gasoline (see also Gasoline engine exhaust, and Aviation gasoline)	1	carcinogenic to humans	possibly carcinogenic
Trichlormethine (Trimustine hydrochloride)	2B	possibly carcinogenic	probably carcinogenic
4-Methylimidazole	2B	possibly carcinogenic	possibly carcinogenic
1-Amino-2,4-dibromoanthraquinone	2B	possibly carcinogenic	possibly carcinogenic
Coal gasification	1	carcinogenic to humans	carcinogenic to humans
Coke production	1	carcinogenic to humans	carcinogenic to humans
2-Methyl-1-nitroanthraquinone (uncertain purity)	2B	possibly carcinogenic	possibly carcinogenic
BK polyomavirus (BKV)	2B	possibly carcinogenic	not classifiable
1-Hydroxyanthraquinone	2B	possibly carcinogenic	possibly carcinogenic
Anthraquinone	2B	possibly carcinogenic	possibly carcinogenic
4,4'-Methylene bis(2-methylaniline)	2B	possibly carcinogenic	probably carcinogenic
Bitumens, occupational exposure to hard bitumens and their emissions during mastic asphalt work	2B	possibly carcinogenic	probably carcinogenic
Epstein-Barr virus	1	carcinogenic to humans	carcinogenic to humans
Vanadium pentoxide	2B	possibly carcinogenic	possibly carcinogenic
Carpentry and joinery	2B	possibly carcinogenic	carcinogenic to humans
Molybdenum trioxide	2B	possibly carcinogenic	possibly carcinogenic
Leucomalachite green (see also Malachite green)	2B	possibly carcinogenic	possibly carcinogenic
Bracken fern	2B	possibly carcinogenic	possibly carcinogenic
Carbazole	2B	possibly carcinogenic	possibly carcinogenic
Estrogen therapy, postmenopausal	1	carcinogenic to humans	carcinogenic to humans
Estrogen-progestogen menopausal therapy (combined)	1	carcinogenic to humans	carcinogenic to humans
2,6-Dimethylaniline (2,6-Xylidine)	2B	possibly carcinogenic	possibly carcinogenic
Sodium ortho-phenylphenate	2B	possibly carcinogenic	possibly carcinogenic
Cobalt(II) oxide	2B	possibly carcinogenic	probably carcinogenic
Estrogen-progestogen oral contraceptives (combined)	1	carcinogenic to humans	carcinogenic to humans
Carbon black	2B	possibly carcinogenic	possibly carcinogenic
Chlorinated paraffins of average carbon chain length C12 and average degree of chlorination approximately 60%	2B	possibly carcinogenic	possibly carcinogenic
N-Nitrososarcosine	2B	possibly carcinogenic	possibly carcinogenic
Titanium dioxide	2B	possibly carcinogenic	possibly carcinogenic
