statement	score	confidence	gemini_2_5_flash
Methyl bromide	3	not classifiable	not classifiable
Sulfamethoxazole	3	not classifiable	not classifiable
Bromoethane	3	not classifiable	possibly carcinogenic
Methyl iodide	3	not classifiable	not classifiable
Ethylene	3	not classifiable	not classifiable
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
Methylene blue	3	not classifiable	not classifiable
Chlorodifluoromethane	3	not classifiable	not classifiable
Vinylidene fluoride	3	not classifiable	not classifiable
Chromium, metallic	3	not classifiable	not classifiable
Dichloroacetylene	3	not classifiable	not classifiable
Endrin	3	not classifiable	not classifiable
tert-Butyl alcohol	3	not classifiable	not classifiable
Pentachloroethane	3	not classifiable	not classifiable
N-Nitrosoproline	3	not classifiable	not classifiable
2-Chloro-1,1,1-trifluoroethane	3	not classifiable	not classifiable
Methylglyoxal	3	not classifiable	not classifiable
Silica, amorphous	3	not classifiable	not classifiable
Selenium and selenium compounds	3	not classifiable	not classifiable
Hydrogen peroxide	3	not classifiable	not classifiable
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	possibly carcinogenic
2-Nitropyrene	3	not classifiable	possibly carcinogenic
Dimethylcarbamoyl chloride	2A	probably carcinogenic	carcinogenic to humans
1,1,2-Trichloroethane	3	not classifiable	possibly carcinogenic
Opisthorchis viverrini (infection with)	1	carcinogenic to humans	carcinogenic to humans
3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone	2B	possibly carcinogenic	possibly carcinogenic
Crotonaldehyde	2B	possibly carcinogenic	not classifiable
Sodium chlorite	3	not classifiable	i don't know
Palygorskite (Attapulgite) (long fibres, > 5 micrometres)	2B	possibly carcinogenic	possibly carcinogenic
Schistosoma haematobium (infection with)	1	carcinogenic to humans	carcinogenic to humans
Tetrabromobisphenol A	2A	probably carcinogenic	possibly carcinogenic
Acheson process, occupational exposure associated with	1	carcinogenic to humans	carcinogenic to humans
1,6-Dinitropyrene	2B	possibly carcinogenic	probably carcinogenic
Phenyl glycidyl ether	2B	possibly carcinogenic	possibly carcinogenic
Potassium bromate	2B	possibly carcinogenic	possibly carcinogenic
